seq,owner_id,owner_login,repo_id,repo_name,creator_user_id,creator_user_login,recipient_user_id,recipient_user_login,type,created_at,source_context_url
134,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,6307904,charlesfinley,review,2020-08-03T13:35:29Z,https://github.com/iluwatar/java-design-patterns/pull/1471
135,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,10645273,ravening,code,2020-08-04T14:48:53Z,https://github.com/iluwatar/java-design-patterns/pull/1474
136,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,8037883,vincent8888801,code,2020-08-08T19:44:51Z,https://github.com/iluwatar/java-design-patterns/pull/1484
137,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,23194128,ashishtrivedi16,code,2020-08-11T14:23:22Z,https://github.com/iluwatar/java-design-patterns/pull/1488
138,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,41055099,rayyh,code,2020-08-11T14:30:34Z,https://github.com/iluwatar/java-design-patterns/pull/1489
139,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,13291222,ohbus,code,2020-08-17T16:14:48Z,https://github.com/iluwatar/java-design-patterns/pull/1496
140,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,13121570,nahteb,code,2020-08-18T16:42:39Z,https://github.com/iluwatar/java-design-patterns/pull/1497
141,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,13291222,ohbus,review,2020-08-18T16:46:14Z,https://github.com/iluwatar/java-design-patterns/pull/1498
142,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,1098102,edycutjong,doc,2020-08-21T15:01:32Z,https://github.com/iluwatar/java-design-patterns/pull/1502
143,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,15279585,mkrzywanski,code,2020-08-23T14:00:32Z,https://github.com/iluwatar/java-design-patterns/pull/1504
144,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,711349,stefanbirkner,code,2020-08-25T14:43:29Z,https://github.com/iluwatar/java-design-patterns/pull/1506
145,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,43882212,fedorskvorcov,code,2020-09-01T13:40:24Z,https://github.com/iluwatar/java-design-patterns/pull/1514
146,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,61546990,samilayoub,code,2020-09-06T16:36:36Z,https://github.com/iluwatar/java-design-patterns/pull/1519
147,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,10645273,ravening,review,2020-09-06T16:39:08Z,https://github.com/iluwatar/java-design-patterns/pull/1520
148,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,29997701,vdlald,code,2020-09-12T17:02:32Z,https://github.com/iluwatar/java-design-patterns/pull/1523
149,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,6285049,swarajsaaj,code,2020-09-13T14:24:33Z,https://github.com/iluwatar/java-design-patterns/pull/1524
150,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,4465376,chflick,doc,2020-10-04T11:24:49Z,https://github.com/iluwatar/java-design-patterns/pull/1545
151,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,7662016,ascenio,review,2020-11-07T07:49:21Z,https://github.com/iluwatar/java-design-patterns/pull/1591
152,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,24280982,dsibilio,doc,2020-11-07T12:34:09Z,https://github.com/iluwatar/java-design-patterns/pull/1593
153,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,3483277,akashchandwani,review,2020-11-07T12:36:55Z,https://github.com/iluwatar/java-design-patterns/pull/1594
154,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,7019769,manannikov,code,2020-11-23T20:38:25Z,https://github.com/iluwatar/java-design-patterns/pull/1599
155,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,20307301,eimanip,code,2020-11-28T12:25:41Z,https://github.com/iluwatar/java-design-patterns/pull/1602
156,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,23739158,grzesiekkedzior,review,2020-11-28T13:09:19Z,https://github.com/iluwatar/java-design-patterns/pull/1603
157,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,42976136,orangepants-r,doc,2020-11-30T14:57:53Z,https://github.com/iluwatar/java-design-patterns/pull/1605
158,582346,iluwatar,22790488,java-design-patterns,582346,iluwatar,21141301,ibrahimalii,review,2020-12-01T20:48:25Z,https://github.com/iluwatar/java-design-patterns/pull/1606
